date,open,high,low,close,volume,dividends,split_ratio
2016-01-04 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-01-05 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-01-06 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-01-07 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-01-08 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-01-11 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-01-12 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-01-13 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-01-14 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-01-15 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-01-18 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-01-19 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-01-20 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-01-21 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-01-22 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-01-25 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-01-26 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-01-27 00:00:00+00:00,1.0,1.0,0.800000011920929,1.0,3900,0,0.0
2016-01-28 00:00:00+00:00,1.0,1.0,1.0,1.0,0,0,0.0
2016-01-29 00:00:00+00:00,1.0,1.0,1.0,1.0,0,0,0.0
2016-02-01 00:00:00+00:00,1.0,1.0,1.0,1.0,0,0,0.0
2016-02-02 00:00:00+00:00,1.0,1.0,1.0,1.0,0,0,0.0
2016-02-03 00:00:00+00:00,1.0,1.0,1.0,1.0,0,0,0.0
2016-02-04 00:00:00+00:00,1.0,1.0,1.0,1.0,0,0,0.0
2016-02-05 00:00:00+00:00,1.0,1.0,1.0,1.0,0,0,0.0
2016-02-08 00:00:00+00:00,1.0,1.2000000476837158,1.0,1.2000000476837158,600,0,0.0
2016-02-09 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,0,0,0.0
2016-02-10 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,0,0,0.0
2016-02-11 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,1400,0,0.0
2016-02-12 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,8500,0,0.0
2016-02-16 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,0,0,0.0
2016-02-17 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,0,0,0.0
2016-02-18 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,0,0,0.0
2016-02-19 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,10100,0,0.0
2016-02-22 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,0,0,0.0
2016-02-23 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,0,0,0.0
2016-02-24 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,0,0,0.0
2016-02-25 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,0,0,0.0
2016-02-26 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,0,0,0.0
2016-02-29 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,0,0,0.0
2016-03-01 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,0,0,0.0
2016-03-02 00:00:00+00:00,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,100,0,0.0
2016-03-03 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,0,0.0
2016-03-04 00:00:00+00:00,1.2000000476837158,1.399999976158142,1.2000000476837158,1.399999976158142,9600,0,0.0
2016-03-07 00:00:00+00:00,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,5000,0,0.0
2016-03-08 00:00:00+00:00,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,0,0,0.0
2016-03-09 00:00:00+00:00,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,0,0,0.0
2016-03-10 00:00:00+00:00,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,0,0,0.0
2016-03-11 00:00:00+00:00,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,0,0,0.0
2016-03-14 00:00:00+00:00,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,0,0,0.0
2016-03-15 00:00:00+00:00,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,0,0,0.0
2016-03-16 00:00:00+00:00,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,0,0,0.0
2016-03-17 00:00:00+00:00,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,0,0,0.0
2016-03-18 00:00:00+00:00,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,0,0,0.0
2016-03-21 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,200,0,0.0
2016-03-22 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,500,0,0.0
